short_text,true,predicted
It is supposed to lower the risk of breast cancer.  There was another abnormal mammogram & biopsy tw,positiva,positiva
I need to take this medication a few nights in a row which seems to get my sleep cycle back in sync.,positiva,positiva
the low dosage of Lisinopril reduced my blood pressure from 138/96 to 127/90. Soon after starting tr,neutra,positiva
"--reduced redness on face [especially around nose and cheek areas]
--helps reduce time that an ope",positiva,positiva
Anxiety greatly diminished shortly after taking alprazolam.  The alprazolam was also effective in ca,positiva,positiva
"If I have a classical migraine, I cannot function without taking an Imitrex. Imitrex takes the edge ",positiva,positiva
suppose to stop my watery eyes. Had little or no effect no side effects I was to take it twice a day,negativa,positiva
"Initially, I was concerned because I had knee surgery and was on crutches for six months.  I gained ",neutra,positiva
"I experienced weight loss, improved insulin sensitivity, increased energy and decreased carbohydrate",positiva,positiva
Benefits were milder and less frequent seizures. Tiredness Started taking after brain injury due to ,positiva,positiva
"it cleared up my skin not just from acne, but also from hyperpigmentation driness of the skin applyi",positiva,neutra
This did help clear acne infections and helped skin somewhat improve The side effects included sun s,negativa,neutra
The treatment benefits of Vicodin (Hydrocodone and Acetaminophen) were relief of severe pain from su,negativa,negativa
"the pain in my tooth started to subside I went into shock. My tongue swelled up, my face got very sw",positiva,negativa
I really could not give any results as I had a severe reaction to the medicine. I broke out in a ras,negativa,negativa
"The benefits helped ""curb"" the pain. Constipation, sweating and rapid heart rate. Initially there wa",neutra,negativa
Neurontin coupled with a stimulant such as caffeine gave me a warm sense of well being and evenness.,positiva,negativa
I had been having abdominal pain for quites some time which was diagnosed as h-pylorybacter.  I star,negativa,negativa
None. The Cipro appeared not to work for my skin infection. Extreme swelling of the lips. I was appr,negativa,negativa
I've only been on it for a week but I've noticed a change already. I am more awake and it seems as t,neutra,neutra
I took my puppy to the vet. The puppy was having diarrhea and vomiting. The vet gave him metoclopram,negativa,negativa
At least I tested it to see if i had Rhemutoid arth. before going through extensive testing.(I still,negativa,negativa
Nothing I woke up 3am and couldnt sleep I had the worst stomach pains thats in my stomach like gas p,negativa,negativa
The drug was very effective at first at getting me out of depression.  However it lost effectiveness,negativa,neutra
"i couldn't get pregnant *

      mild nausea, vomiting, bloating, stomach cramps;
    *

 ",negativa,neutra
I've only been on it for a week but I've noticed a change already. I am more awake and it seems as t,neutra,neutra
The drug got rid of the acne but the problem reoccurred a year later none I had severe acne on the c,positiva,neutra
"Since using the Retin-A along with the Accutane, I have noticed a great improvement in the look of m",neutra,neutra
"the benefits foe the pain was good, it helped the constant pain i was having in my muscles and the o",neutra,neutra
"no pregnancy, reduced ance headaches, minimal breakthrough bleeding, weight gain minimal standard do",positiva,neutra
